month,county,residents_covid19_deaths_per_month,residents_covid19_cases_per_month,NH_monthly_fatality_rate,county_occupancy,county_cases,county_prevalence,NH_occupancy_rate,staff_flu_vaccination_rate,total_supply_ppe_monthly,total_shortage_stuff_monthly,ventilator_dependent_unit_monthly,monthly_new_positives,monthly_new_tests_performed,monthly_infection_rate,monthly_fatality_rate,election_result.x,election_result.y
9,Monroe,2,3,0.666666667,NA,466,NA,0.827542381,0.738181818,1,1,1,659,94932,0.006941811,0.042476719,D,D
10,Monroe,0,7,0,4147,473,0.114058355,0.816772895,0.738181818,1,1,1,NA,NA,NA,NA,D,D
5,Montgomery,0,2,0,512,2,0.00390625,0.873333333,0.94,1,0,0,37,2702,0.01369356,0.043956044,R,R
6,Montgomery,0,0,NA,518,2,0.003861004,0.880595238,0.94,1,1,0,27,5912,0.004566982,0.033898305,R,R
7,Montgomery,0,2,0,517,4,0.007736944,0.895044643,0.94,1,1,0,37,5300,0.006981132,0.025806452,R,R
8,Montgomery,4,17,0.235294118,525,21,0.04,0.896892857,0.94,1,1,0,52,6312,0.008238276,0.038647343,R,R
9,Montgomery,2,1,2,521,22,0.042226488,0.894092262,0.94,1,1,0,28,5786,0.004839267,0.038297872,R,R
10,Montgomery,0,0,NA,526,22,0.041825095,0.898973214,0.94,1,1,0,NA,NA,NA,NA,R,R
5,Nassau,NA,NA,NA,NA,NA,NA,0.723112234,0.828378378,1,1,1,4318,83916,0.051456218,0.052323427,D,D
6,Nassau,NA,NA,NA,5334,808,0.151481065,0.720384967,0.828378378,1,1,1,1374,134402,0.010223062,0.052134853,D,D
7,Nassau,8,34,0.235294118,5399,842,0.155954806,0.728995717,0.828378378,1,1,1,1418,150444,0.009425434,0.050703705,D,D
8,Nassau,0,16,0,5400,858,0.158888889,0.735261402,0.828378378,1,1,1,1490,179247,0.008312552,0.049105248,D,D
9,Nassau,2,3,0.666666667,5529,861,0.155724362,0.747540494,0.828378378,1,1,1,2168,179086,0.012105916,0.046900637,D,D
10,Nassau,0,6,0,5566,867,0.155767158,0.748231214,0.828378378,1,1,1,NA,NA,NA,NA,D,D
5,New York,305,654,0.466360856,4485,654,0.145819398,0.783619729,0.845294118,1,1,1,4546,107829,0.042159345,0.108977957,NA,NA
6,New York,6,53,0.113207547,4482,707,0.157742079,0.77465039,0.845294118,1,1,1,1797,170092,0.010564871,0.108282488,NA,NA
7,New York,3,26,0.115384615,4508,733,0.162599823,0.777423505,0.845294118,1,1,1,2000,213080,0.009386146,0.103086703,NA,NA
8,New York,2,17,0.117647059,4562,750,0.164401578,0.783214564,0.845294118,1,1,1,1647,261077,0.006308484,0.098554329,NA,NA
9,New York,0,24,0,4501,774,0.171961786,0.842850894,0.845294118,1,1,1,1461,270090,0.005409308,0.0945102,NA,NA
10,New York,2,6,0.333333333,4610,780,0.169197397,0.801398579,0.845294118,1,1,1,NA,NA,NA,NA,NA,NA
5,Niagara,NA,NA,NA,NA,NA,NA,0.834279011,0.775,1,1,0,606,11440,0.052972028,0.062141491,R,R
6,Niagara,14,41,0.341463415,1109,108,0.097385032,0.81303217,0.775,1,1,0,191,19086,0.010007335,0.068714632,R,R
7,Niagara,0,33,0,1129,141,0.124889283,0.822657314,0.775,1,1,0,207,20064,0.010316986,0.060941828,R,R
8,Niagara,3,20,0.15,1145,161,0.140611354,0.827088443,0.775,1,1,0,182,20523,0.008868099,0.054735547,R,R
9,Niagara,0,2,0,1130,163,0.144247788,0.828875536,0.775,1,1,0,173,22704,0.007619803,0.049471929,R,R
10,Niagara,0,6,0,1154,169,0.14644714,0.828139794,0.775,1,1,0,NA,NA,NA,NA,R,R
