county,month,monthly_new_positives,monthly_new_tests_performed,monthly_infection_rate,monthly_fatality_rate
Rensselaer,11/1/2020,197,19559,0.01007209,0.034065102
Richmond,3/1/2020,3188,7160,0.445251397,0.021016311
Richmond,4/1/2020,8749,27175,0.321950322,0.060316662
Richmond,5/1/2020,1600,27296,0.058616647,0.073132895
Richmond,6/1/2020,572,45801,0.01248881,0.074349706
Richmond,7/1/2020,672,51639,0.01301342,0.072796157
Richmond,8/1/2020,527,63117,0.008349573,0.070747322
Richmond,9/1/2020,717,64653,0.011089973,0.067769111
Richmond,10/1/2020,1619,95272,0.01699345,0.062060757
Richmond,11/1/2020,1998,55719,0.035858504,0.056257
Rockland,3/1/2020,3321,8207,0.404654563,0.005420054
Rockland,4/1/2020,8491,23209,0.365849455,0.033694548
Rockland,5/1/2020,1373,21852,0.062831777,0.037466818
Rockland,6/1/2020,417,24975,0.016696697,0.037200412
Rockland,7/1/2020,278,25812,0.010770184,0.036527378
Rockland,8/1/2020,391,29851,0.013098389,0.035596665
Rockland,9/1/2020,1365,37485,0.036414566,0.032553083
Rockland,10/1/2020,2629,71302,0.036871336,0.028086504
Rockland,11/1/2020,1578,46132,0.034206191,0.026104924
Saratoga,3/1/2020,122,1720,0.070930233,0
Saratoga,4/1/2020,236,3490,0.067621777,0.036312849
Saratoga,5/1/2020,125,8460,0.014775414,0.028985507
Saratoga,6/1/2020,67,14900,0.004496644,0.027272727
Saratoga,7/1/2020,176,17765,0.009907121,0.020661157
Saratoga,8/1/2020,120,24880,0.004823151,0.017730496
Saratoga,9/1/2020,227,31601,0.007183317,0.013979497
Saratoga,10/1/2020,350,40913,0.008554738,0.011946592
Saratoga,11/1/2020,257,18398,0.01396891,0.010119048
Schenectady,3/1/2020,93,1163,0.079965606,0.010752688
Schenectady,4/1/2020,421,3206,0.131316282,0.042801556
Schenectady,5/1/2020,179,8683,0.020614995,0.04040404
Schenectady,6/1/2020,112,14634,0.00765341,0.043478261
