month,county,residents_covid19_deaths_per_month,residents_covid19_cases_per_month,NH_monthly_fatality_rate,county_monthly_occupancy,county_monthly_cases,county_monthly_prevalence,NH_occupancy_rate,staff_flu_vaccination_rate,total_supply_ppe_monthly,total_shortage_stuff_monthly,ventilator_dependent_unit_monthly,monthly_new_positives,monthly_new_tests_performed,monthly_infection_rate,monthly_fatality_rate
10,Onondaga,2,5,0.4,2422,5,0.002064409578860446,0.8661804104938661,0.825,1,1,0,NA,NA,NA,NA
5,Ontario,NA,NA,NA,427,NA,NA,0.7764061091903001,0.7716666666666666,1,1,1,117,4883,0.02396068,0.091346154
6,Ontario,2,10,0.2,387,10,0.025839793281653745,0.9118112098635405,0.7716666666666666,1,1,1,57,9671,0.00589391,0.098113208
7,Ontario,0,0,NA,420,0,0,0.7489249890321539,0.7716666666666666,1,1,1,84,10984,0.007647487,0.077363897
8,Ontario,0,1,0,435,1,0.0022988505747126436,0.7909327171876693,0.7716666666666666,1,1,1,44,12375,0.003555556,0.071246819
9,Ontario,0,0,NA,527,0,0,0.8142636740781509,0.7716666666666666,1,1,1,88,13155,0.006689472,0.058212058
10,Ontario,0,1,0,540,1,0.001851851851851852,0.8172133251893114,0.7716666666666666,1,1,1,NA,NA,NA,NA
5,Orange,149,390,0.382051282051282,1037,390,0.3760848601735776,0.7165528391952658,0.862,1,1,0,1671,21308,0.07842125,0.035405872
6,Orange,13,30,0.43333333333333335,NA,30,NA,0.7364613900566289,0.862,1,1,0,308,25353,0.012148464,0.037371855
7,Orange,5,10,0.5,NA,10,NA,0.7744331635103402,0.862,1,1,0,358,26167,0.013681354,0.036706349
8,Orange,2,3,0.6666666666666666,NA,3,NA,0.783662987317653,0.862,1,1,0,357,28858,0.01237092,0.035736129
9,Orange,0,2,0,1143,2,0.0017497812773403325,0.7843539685618205,0.862,1,1,0,754,33674,0.022391162,0.033855234
